  PID TTY      STAT   TIME COMMAND
12977 tty1     Sl+    0:02 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 305 -prefMapSize 220368 -parentBuildID 20200708170202 -appdir /usr/lib/firefox/browser 12860 true tab
13004 tty1     Sl+    0:01 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6517 -prefMapSize 220368 -parentBuildID 20200708170202 -appdir /usr/lib/firefox/browser 12860 true tab
13055 tty1     Sl+    1:08 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 9114 -prefMapSize 220368 -parentBuildID 20200708170202 -appdir /usr/lib/firefox/browser 12860 true tab
13085 tty1     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 9114 -prefMapSize 220368 -parentBuildID 20200708170202 -appdir /usr/lib/firefox/browser 12860 true tab
13166 ?        Ssl    0:10 /usr/lib/gnome-terminal/gnome-terminal-server
13176 pts/0    Ss     0:00 bash
13288 pts/1    Ss+    0:00 bash
13392 ?        I      0:00 [kworker/u8:0-ev]
13594 ?        I      0:00 [kworker/u8:2-ev]
13612 ?        I      0:00 [kworker/u8:1-ev]
13673 pts/0    R+     0:00 ps -ax
